0
"csv,"
"あー,"
"tweetdeck,"
"その,"
"そ,"
"JavaScript,"
"ぶっ,"
"モダン,"
"Python,"
"うん,"
"最,"
"まあ,"
"今,"
"VisualStudio,"
"窓,"
"僕,"
"うん,"
"スマホ,"
"寝,"
"大きい,"
"てか,"
"デスクトップアプリ,"
"C,"
"バイナリ,"
"最終,"
"くそ,"
"ニコ,"
"け,"
"人徳,"
"たか,"
"メモ,"
"ところで,"
"PEP,"
"単純,"
"コーディング,"
"そこ,"
"ESlint,"
"仮面ライダー,"
"？,"
"ファン,"
"コンポーネント,"
"色んな,"
"コンポーネント,"
"いや,"
"別に,"
"App,"
"ポートフォリオ,"
"Vue,"
"ポートフォリオ,"
"龍,"
"戦わ,"
"今,"
"ドライブ,"
"ドライブ,"
"流石,"
"筋,"
"ダメ,"
"龍,"
"ゴロー,"
"やばい,"
"僕,"
"龍,"
"何,"
"高尾,"
"食っ,"
"謎,"
"Mes,"
"C,"
"なんか,"
"入っ,"
"入っ,"
"C,"
"XAML,"
"C,"
"これ,"
"その,"
"多,"
"エディタ,"
"いわゆる,"
"技術,"
"技術,"
"一,"
"はぁ,"
"当たり前,"
"最近,"
"Vim,"
"精進,"
"AtCoder,"
"今日,"
"なんか,"
"え,"
"高尾,"
"作る,"
"メモリ,"
"Chrome,"
"マジ,"
"node,"
"2019,"
"あと,"
"Windows,"
"Node,"
"エディタ,"
"VisualStudio,"
"広義,"
"ラブ,"
"次,"
"よかっ,"
"一応,"
"あっ,"
"使う,"
"多分,"
"illustrator,"
"ゆる,"
"てか,"
"ポートフォリオ,"
"天才,"
"...,"
"エンジニア,"
"わあ,"
"あ,"
"という,"
"ロゴ,"
"音楽,"
"えー,"
"CC,"
"高尾,"
"とっとと,"
"高尾,"
"LT,"
"まあ,"
"無い,"
"テーマ,"
"ええ,"
"話す,"
"LT,"
"情報,"
"オタク,"
"これ,"
"そん,"
"今月,"
"僕,"
"申し込み,"
"これ,"
"学校,"
"久々,"
"「,"
"vue,"
"おなか,"
"主人公,"
"腐っ,"
"主人公,"
"2,"
"Youtube,"
"こまっ,"
"index,"
"今日,"
"334,"
"枕草子,"
"長編,"
"紫式部,"
"紫式部,"
"清少納言,"
"枕草子,"
"俺,"
"やめよ,"
"ﾔﾏｹﾞﾝ,"
"裏,"
"命題,"
"病気,"
"向こう,"
"逆,"
"いや,"
"逆,"
"Ymgn,"
"多重,"
"レガシー,"
"ただし,"
"まとめる,"
"学校,"
"から,"
"好き,"
"わかん,"
"TeamLab,"
"早い,"
"本当に,"
"ごめんなさい,"
"来週,"
"おなか,"
"facrotio,"
"早く,"
"最新,"
"何だ,"
"フォント,"
"全然,"
"&,"
"楽しい,"
"なんで,"
"code,"
"Source,"
"やっぱ,"
"T,"
"うーん,"
"おっ,"
"高尾,"
"高尾,"
"高尾,"
"これ,"
"管理,"
".,"
"ブラウザ,"
"PC,"
"Slack,"
"HackMD,"
"Vim,"
"Qiita,"
"いや,"
"と,"
"Office,"
"VisualStudio,"
"Adobe,"
"それ,"
"JVM,"
"Linux,"
"Adobe,"
"Adobe,"
"や,"
"俺,"
"8,"
"しかし,"
"ちゃんと,"
"docker,"
"ラズパイ,"
"docker,"
"docker,"
"止まっ,"
"オート,"
"docker,"
"海外,"
"噂,"
"Docker,"
"Docker,"
"IDE,"
"Windows,"
"男女,"
"日本,"
"Web,"
"Jetbrains,"
"そう,"
"AWS,"
"あれ,"
"最近,"
"wsl,"
"Hyper,"
"ローカル,"
"わから,"
"うーん,"
"これ,"
"でき,"
"これ,"
"ええ,"
"コマンドプロンプト,"
"島根,"
"別に,"
"win,"
"寝る,"
"中途半端,"
"PowerShell,"
"パワー,"
"ターミナル,"
"こっ,"
"clone,"
"さ,"
"Docker,"
"自分,"
"最近,"
"wsl,"
"docker,"
"他,"
"Web,"
"まとも,"
"docker,"
"シナリオ,"
"違う,"
"件名,"
"何,"
"おなか,"
"ダブル,"
"春休み,"
"Docker,"
"帰っ,"
"せめて,"
"個人,"
"ドメイン,"
"上級,"
"オフセ,"
"ケヴィン,"
"関係,"
"いっ,"
"今更,"
"4,"
"なんか,"
"発言,"
"言っ,"
"5,"
"気付い,"
"csv,"
"gas,"
"標準,"
"あっ,"
"sql,"
"sql,"
"めっちゃ,"
"sql,"
"print,"
"sys,"
"コーディング,"
"とりあえず,"
"コーディング,"
"御社,"
"嘘,"
"もうすぐ,"
"てか,"
"なんだかんだ,"
"2017,"
"なんだかんだ,"
"バイト,"
"あと,"
"まあ,"
"軽く,"
"認証,"
"Twitter,"
"Gas,"
"過言,"
"てか,"
"うーん,"
"割,"
"gas,"
"gas,"
"gas,"
"ts,"
"ほとんど,"
"gas,"
"手軽,"
"やっぱ,"
"gas,"
"Discord,"
"ビッグ,"
"Google,"
"一,"
"え,"
"ちょうど,"
"もしかして,"
"IFTTT,"
"直接,"
"最初,"
"IFTTT,"
"何,"
"gmail,"
"めんどくさい,"
"セキュリティ,"
"ちゃんと,"
"えー,"
"ダメ,"
"Vue,"
"先,"
"うーん,"
"今度,"
"！,"
"仮面,"
"ラップ,"
"W,"
"久々,"
"変,"
"通話,"
"Vue,"
"Vue,"
"Nuxt,"
"Vue,"
"犬,"
"スティック,"
"布団,"
"モスクワ,"
"縣,"
"縣,"
"vue,"
"わーい,"
"Nuxt,"
"に,"
"俺,"
"令,"
"今,"
"リテラシー,"
"多分,"
"僕,"
"まあ,"
"これ,"
"いささか,"
"あれ,"
"自分,"
"Slackbot,"
"最近,"
"就活,"
"御社,"
"ネオディケイドライバー,"
"cowsay,"
"TL,"
"yes,"
"ありがとう,"
"21,"
"僕,"
"えー,"
"僕,"
"先輩,"
"滅茶苦茶,"
"カーマ,"
"就職,"
"はい,"
"学校,"
"だから,"
"思いっきり,"
"カラオケ,"
"たのしい,"
"スマホ,"
"ディケイドライバー,"
"男,"
"俺,"
"Java,"
"三原,"
"三原,"
"デルタ,"
"全く,"
"僕,"
"こわ,"
"なんで,"
"俺,"
"いいえ,"
"ArchInstallBattle,"
"ノート,"
"そ,"
"理系,"
"人間,"
"カーマ,"
"いき,"
"変,"
"く,"
"練習,"
"好き,"
"なんか,"
"フル,"
"TweetDeck,"
"いいえ,"
"エディタ,"
"thinking,"
"csm,"
"クオリティ,"
"のどか,"
"待っ,"
"お湯,"
"Complete,"
"Standing,"
"袋,"
"おなか,"
"おなか,"
"流石,"
"う,"
"おなか,"
"最近,"
"ゆる,"
"？,"
"Discord,"
"淵,"
"発狂,"
"echo,"
"無く,"
"args,"
"when,"
"なんか,"
"「,"
"いかん,"
"大阪,"
"FGOQ,"
"公開,"
"ingress,"
"Vim,"
"頭,"
"今日,"
"…,"
"めっちゃ,"
"今年,"
"これ,"
"むしろ,"
"就活,"
"学校,"
"なんか,"
"えん,"
"おなか,"
"illustrator,"
"変更,"
"やっ,"
"git,"
"じ,"
"馬鹿,"
"パスタ,"
"新,"
"バイト,"
"後輩,"
"眠い,"
"16,"
"社会,"
"とっとと,"
"明日,"
"技術,"
"やり,"
"ネオディケイドライバー,"
"kotlin,"
"ビルド,"
"intelliJ,"
"暇,"
"いや,"
"最近,"
"brackets,"
"アルゴリズム,"
"IchigoJam,"
"趣味,"
"世の中,"
"Web,"
"Kotlin,"
"高専,"
"サーバー,"
"Android,"
"俺,"
"あ,"
"つっ,"
"バイト,"
"キズナ,"
"しののめ,"
"今日,"
"銭湯,"
"株式会社,"
"ﾅｽﾞｪﾐﾃﾙﾝﾃﾞｨｽ,"
"龍,"
"剣崎,"
"まあ,"
"Atom,"
"めっちゃ,"
"昨日,"
"brackets,"
"marp,"
"Marp,"
"hackmd,"
"あ,"
"はい,"
"フリーター,"
"大学生,"
"初心者,"
"2,"
"Rated,"
"まだ,"
"A,"
"やっ,"
"あ,"
"口内,"
"く,"
"最近,"
"いきなり,"
"何,"
"Pyrhonista,"
"ごめんなさい,"
"ふえ,"
"普通,"
"今回,"
"AtCoder,"
"明日,"
"都内,"
"キャリア,"
"気,"
"Python,"
"web,"
"まとも,"
"そろそろ,"
"1,"
"だいたい,"
"きょう,"
"帰っ,"
"電車,"
"AtCoder,"
"コーディング,"
"この,"
"池袋,"
"改札,"
"バーベキュー,"
"そ,"
"何,"
"1,"
"Simeji,"
"あと,"
"あと,"
"えー,"
"わり,"
"パッド,"
"あと,"
"東方,"
"明日,"
"少なくとも,"
"俺,"
"やっぱ,"
"でも,"
"あれ,"
"パーシージャクソン,"
"贵樣,"
"周り,"
"ハリー,"
"ハリーポッター,"
"シリウス,"
"あ,"
"ベラトリックス,"
"悪人,"
"ドラコ・マルフォイ,"
"ハリー,"
"ウィーズリー,"
"マルフォイ,"
"ハリー,"
"ウィーズリー,"
"ハリー,"
"ハリーポッター,"
"ずっと,"
"本,"
"つ,"
"主,"
"学校,"
"デモナータ,"
"ただ,"
"なんて,"
"ダレン・シャン,"
"PSP,"
"めちゃくちゃ,"
"と,"
"リアル,"
"クレプスリー,"
"あれ,"
"世,"
"OB,"
"あれ,"
"実験,"
"あれ,"
"入学,"
"なんて,"
"学校,"
"ぶっ,"
"なんで,"
